date,AAPL,AMZN,AVGO,BRK-B,GOOG,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2023-02-17,151.3633821047,97.2,57.6090200921,308.24,94.3568197966,135.9151928838,324.708591595,172.3628009438,255.0606081279,21.3730899116,134.0752155929,208.31,485.922870514,220.9622752641,105.7035492315
2023-02-21,147.3250408057,94.58,56.2500202226,302.72,91.8230813223,133.4212484699,323.8285957165,171.5651942758,249.7332552727,20.6406009035,133.9794544219,197.37,478.3577092094,218.0564375057,105.5990615391
2023-02-22,147.7516960289,95.79,55.7306017671,303.16,91.5736976142,132.3988268137,325.3710604025,170.6080662743,248.5867377751,20.7395318882,134.5444453311,200.86,476.0015071042,217.4634093917,104.2312226562
2023-02-23,148.2378845391,95.82,56.4686209133,303.07,90.8454971865,133.4594698403,323.8384833106,171.5253139424,251.8088472942,23.6475032573,134.1135200613,202.07,478.7276913581,218.5605114026,105.1906096504
2023-02-24,145.5688088402,93.5,55.8834287987,304.02,89.1297372748,134.6634430056,318.0245779556,169.8802501898,246.3233540945,23.2697667702,133.35700681,196.88,471.5617213193,216.9988707025,105.2001085316
2023-02-27,146.769396794,93.76,56.6282187628,304.66,89.8778883991,135.8387501431,313.0610056968,169.0327931051,247.2524286185,23.4846168886,133.2420934047,207.63,470.5783477134,217.7895748544,105.0101309089
2023-02-28,146.2633638548,94.23,57.4832763319,305.18,90.0773953656,136.9758359104,307.7217048606,174.4166381137,246.5210295252,23.1998155689,131.7290669021,205.71,463.3929049299,217.3843389765,104.4022025165
2023-03-01,144.1796988111,92.17,57.413633634,304.62,90.2868776804,136.2114085038,310.6385451322,172.9011854446,243.4076414929,22.6821766791,131.8248280731,202.77,462.6918861218,215.8226982764,105.3330928674
2023-03-02,144.7750316807,92.13,57.9050015584,307.75,92.0824403787,134.7972178017,311.5086534166,174.0078646964,248.1913869139,23.2977472508,133.9986066561,190.9,465.1065064609,216.5145644094,105.8175358051
2023-03-03,149.8552055016,94.9,61.2043243733,312.45,93.7882249421,137.2720515304,314.8506602363,184.6957940469,252.3228034138,23.8733457073,134.9753706008,197.79,465.9438344818,221.169835104,107.1568780447
2023-03-06,152.6334255599,93.75,61.2198005284,316.97,95.3443792806,136.4694027535,315.3747027258,184.3468411297,253.8844393157,23.537579941,134.4008035745,193.81,468.1053091402,224.1152080701,108.1067661578
2023-03-07,150.4207717278,93.55,60.4682397464,311.12,93.9378551669,132.4561588692,307.1383368062,183.9580078791,251.1960534593,23.2757625875,131.7290669021,187.71,461.3872122288,220.5768069901,106.0170123089
2023-03-08,151.6808929685,93.92,61.1559613886,311.37,94.4166718865,131.6726207775,309.0268672872,184.4166317131,250.7512837404,24.1682933325,131.7482191363,182.0,458.1936821028,219.6081944039,104.4686946844
2023-03-09,149.4186280639,92.25,60.213850447,304.82,92.43157757,124.5443352114,313.288420362,181.1464443746,249.3873232691,23.4236848162,130.7810313087,172.92,452.653686244,217.4535255898,103.6612897883
2023-03-10,147.3448852347,90.73,59.4700277426,303.63,90.7856450966,127.707153606,311.4789906342,178.9729662044,245.7006764881,22.952932318,131.3747505692,173.44,449.8009291497,213.6284942548,102.3789408355
2023-03-13,149.29956149,92.43,59.6286583324,302.88,91.4340427376,125.4138713864,320.8425422858,180.35880779,250.9687267141,22.9539317925,132.2844816942,174.48,453.0743050163,211.9778993375,101.2010795752
2023-03-14,151.4030709627,94.88,61.1753065825,305.33,94.0176579535,128.6340218364,323.3935415743,193.4395571443,257.7588777559,24.0503553393,133.9219977192,183.26,453.9537194282,216.1192123334,101.5810348205
